-181.397, -10.650, 10.616, 19.585
-181.396, -11.004, 10.652, 19.618
-181.394, -11.360, 10.688, 19.651
-181.393, -11.717, 10.724, 19.684
-181.392, -12.076, 10.760, 19.717
-181.391, -12.435, 10.797, 19.750
-181.390, -12.796, 10.834, 19.783
-181.388, -13.158, 10.870, 19.816
-181.387, -13.522, 10.907, 19.849
-181.386, -13.886, 10.944, 19.882
-181.385, -14.252, 10.981, 19.915
-181.383, -14.619, 11.019, 19.948
-181.382, -14.987, 11.056, 19.981
-181.381, -15.357, 11.094, 20.014
-181.379, -15.727, 11.131, 20.047
-181.378, -16.099, 11.169, 20.080
-181.377, -16.473, 11.207, 20.113
-181.375, -16.847, 11.245, 20.146
-181.374, -17.223, 11.283, 20.179
-181.373, -17.600, 11.321, 20.212
-181.371, -17.978, 11.360, 20.245
-181.370, -18.358, 11.398, 20.278
-181.368, -18.739, 11.437, 20.311
-181.367, -19.121, 11.476, 20.344
-181.365, -19.505, 11.515, 20.377
-181.364, -19.889, 11.555, 20.410
-181.363, -20.276, 11.594, 20.443
-181.361, -20.663, 11.634, 20.476
-181.360, -21.052, 11.673, 20.509
-181.358, -21.442, 11.713, 20.542
-181.357, -21.833, 11.753, 20.575
-181.355, -22.226, 11.792, 20.608
-181.353, -22.620, 11.832, 20.641
-181.352, -23.016, 11.872, 20.674
-181.350, -23.412, 11.911, 20.707
-181.349, -23.810, 11.951, 20.740
-181.347, -24.210, 11.991, 20.773
-181.346, -24.611, 12.030, 20.806
-181.344, -25.013, 12.070, 20.839
-181.342, -25.416, 12.110, 20.872
-181.341, -25.821, 12.149, 20.905
-181.339, -26.227, 12.189, 20.938
-181.337, -26.634, 12.229, 20.971
-181.336, -27.042, 12.269, 21.004
-181.334, -27.452, 12.309, 21.037
-181.332, -27.864, 12.349, 21.070
-181.331, -28.276, 12.389, 21.103
-181.329, -28.690, 12.429, 21.136
-181.327, -29.106, 12.469, 21.169
-181.325, -29.522, 12.510, 21.202
-181.323, -29.940, 12.551, 21.235
-181.322, -30.360, 12.591, 21.268
-181.320, -30.780, 12.632, 21.301
-181.318, -31.203, 12.673, 21.334
-181.316, -31.626, 12.714, 21.367
-181.314, -32.051, 12.755, 21.400
-181.312, -32.477, 12.797, 21.433
